"#","Reference","Qty","MPN","Description","Value","Package","Link","LCSC","DNP","Footprint"
"1","R13","1","0201WMF5102TEE0201WMF5102TEE","RES 51kΩ ±1% 50mW 0201","51K","0201","https://www.lcsc.com/product-detail/C473471.html","C473471","","Resistor_SMD:R_0201_0603Metric"
"2","SW1","1","1TS026A-1000-0550","50mA 2.6mm 100MΩ 200,000 Times 12V 100gf 1.6mm 0.55mm Round Button Standing paste SPST SMD,1.6x2.6mm Tactile Switches ROHS","1TS026A-1000-0550","SMD,1.6x2.6mm ","https://www.lcsc.com/product-detail/Tactile-Switches_HYP-Hongyuan-Precision-1TS026A-1000-0550-CT_C913778.html","C913778","","hhl:1TS026A-1000-0550"
"3","Y1","1","ABM8-272-T3","12MHz SMD3225-4P Crystals ROHS","ABM8-272-T3","SMD3225-4P ","","C20625731","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm"
"4","R22","1","AC0201FR-07470RL","50mW Thick Film Resistors ±1% ±200ppm/℃ 470Ω 0201 Chip Resistor - Surface Mount ROHS","470R","0201","","C226558","","Resistor_SMD:R_0201_0603Metric"
"5","L4","1","AOTA-B201610S3R3-101-T","0806 POLARIZED Fixed Inductors RoHS","3.3u","","","C42411119","","hhl:L_pol_2016"
"6","L5","1","BLM18AG601SN1D","Murata Electronics Ferrite Bead","BLM18AG601SN1D","0603","","C19330","","Inductor_SMD:L_0603_1608Metric"
"7","Q1,Q2","2","BSS138DW-7-F","50V 200mA 200mW 3.5Ω@10V,220mA 1.5V@250uA 2 N-Channel SC-70-6(SOT-363) MOSFETs ROHS","BSS138DW","SC-70-6(SOT-363)","","C154900","","Package_TO_SOT_SMD:SOT-363_SC-70-6"
"8","C1,C2","2","CC0402FRNPO9BN150","50V 15pF NP0 ±1%","15pF","0402","","C326803","","Capacitor_SMD:C_0402_1005Metric"
"9","C6","1","CC0402KRX7R5BB104","6.3V 100nF X7R ±10%","100nF","0402","","C541406","","Capacitor_SMD:C_0402_1005Metric"
"10","C5,C7,C9,C10","4","CL05A475KP5NRNC","10V 4.7uF X5R ±10% 0402 Ceramic Capacitors RoHS","4.7u","","","C368809","","Capacitor_SMD:C_0402_1005Metric"
"11","C4,C11","2","CL21A106KPFNNNE","10V 10uF X5R ±10%","10uF","0805","","C17024","","Capacitor_SMD:C_0805_2012Metric"
"12","D1,D2,D3","3","CUS08F30,H3F","SOD-323 Schottky Diodes ROHS","CUS08F30,H3F","SOD-323 ","","C150183","","Diode_SMD:D_SOD-323_HandSoldering"
"13","C8,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21","11","GRM033R61A104KE15D","10V 100nF X5R ±10% 0201 Ceramic Capacitors RoHS","100n","","","C76934","","Capacitor_SMD:C_0201_0603Metric"
"14","SW2,SW3","2","KSC201J LFS","Soft 160gf actuator, 3.5mm height tactile button IP67","SW_Push","","","C221725","","hhl:KSC-TE"
"15","L3","1","MIP25202R2MBE","1.3A 2.2uH ±20% 80mΩ 1008 Inductors (SMD) ROHS","1.3A 2.2uH ±20% 80mΩ","1008","","C315721","","Inductor_SMD:L_1008_2520Metric"
"16","R14","1","RC0201FR-0710KL ","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 10kΩ","10k","0201","","C106225","","Resistor_SMD:R_0201_0603Metric"
"17","R17,R18,R19,R20,R21","5","RC0201FR-0727RL","Resistor","27R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-0727RL_C273268.html","C273268","","Resistor_SMD:R_0201_0603Metric"
"18","R12","1","RC0201FR-0733RL","Resistor","33","","","C295794","","Resistor_SMD:R_0201_0603Metric"
"19","R7,R11,R15,R16","4","RC0201FR-07100RL","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100Ω","100R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-0727RL_C273268.html","C77623","","Resistor_SMD:R_0201_0603Metric"
"20","R1,R2,R3,R4,R5,R6,R10","7","RC0402FR-071KL","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ","1k","0402","","C106235","","Resistor_SMD:R_0402_1005Metric"
"21","R8,R9","2","RC0402FR-075K1L","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 5.1kΩ","5.1k","0402","","C105872","","Resistor_SMD:R_0402_1005Metric"
"22","U5","1","RP2354A","QFN-60(7x7) Microcontrollers RoHS","RP2350_60QFN","","","C41378174","","hhl:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias"
"23","P1","1","RPI-RM2","Raspberry Pi RM2 Wireless Module","RPI-RM2","","","~","","hhl:RPI_RM2"
"24","L1,L2","2","SK6805-EC-10","0606 RGB LEDs(Built-in IC) ROHS","SK6805-EC-10","0606","","","","hhl:SK6805-EC-10"
"25","C3","1","TAJA476K006RNJ","","47uF","","","C7190","","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A"
"26","U4","1","TPS63001DRCR","High efficiency Buck-Boost Converter with 1.8A Current Switches in 3x3 QFN","TPS630001RCR","VSON-10 Texas Instruments","","C28060","","hhl:VREG_V62_16624-01YE"
"27","J2","1","USB4080-03-A","CONN RCPT USB C 3.2 24POS SMD RA","USB4080-03-A_REVA1","None","https://www.digikey.com/en/products/detail/gct/USB4080-03-A/14659819","","","dongle:GCT_USB4080-03-A_REVA1"
"28","U1,U2,U3","3","USBLC6-2P6","Very low capacitance ESD protection diode, 2 data-line, SOT-666","USBLC6-2P6","SOT-666-6","https://www.lcsc.com/product-detail/C15999.html?s_z=n_USBLC6-2P6","C15999","","Package_TO_SOT_SMD:SOT-666"
